time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.06883036346e-07,8.45052735781e-07,10.0033767389,0.000633305348794,6.28273966176,0.0,1.20141472032e-05,6.6921043936e-05,0.112552742049,0.0260224491367,-0.029567807843,0.0,442.472480632574,440.0320691412944,439.3981809942124,441.5497489954854
0.12000000000000001,1.83493263489e-05,2.78827718046e-05,10.0169051228,0.00255863869017,6.28169560747,0.0,0.000764509951854,0.00104721496019,0.338352780409,0.0420729834258,-0.000237533286119,0.0,473.36712991543624,475.6184092904778,475.2336566953691,476.46242329213044
0.18,9.23221007205e-05,0.000148075608461,10.0383765527,0.00545469804703,6.28130075836,0.0,0.00171588951573,0.00321323267013,0.377348226534,0.0584250831381,-0.0239554755497,0.0,418.19925737171974,416.12860858345863,416.5756594867442,418.0044107377248
0.23999999999999996,0.000239809537805,0.000467381792185,10.0640752191,0.00903682722534,6.2798885637,0.0,0.00334600331705,0.00779268129991,0.47923340333,0.062140184465,-0.0227117704231,0.0,437.73555396570083,437.8389544883463,437.39755204891804,437.7093596563663
0.3,0.000528745736929,0.00117729272236,10.1000967589,0.0125680256987,6.27876183274,0.0,0.00643674440314,0.0163176792501,0.721357877341,0.0513041183911,-0.011889536591,0.0,480.53724515474823,481.356858660055,479.80374692677924,478.98261669706295
0.36000000000000004,0.00101608827529,0.00244775891379,10.147905843,0.0155147106903,6.27795938959,0.0,0.00989035451622,0.0263602017232,0.872169930037,0.044321276102,-0.0165218208288,0.0,453.363709913483,452.99153280620027,453.72565723581164,453.1662179452409
0.4200000000000001,0.00174907209023,0.00444266128076,10.2084022908,0.0179008815382,6.27651615837,0.0,0.0146866594419,0.0404569346529,1.14414001538,0.0286121254582,-0.0467090583413,0.0,491.1193711326211,488.87537398123897,489.096973797784,487.92637405102903
0.48000000000000015,0.00278026775757,0.00725152256925,10.2803333653,0.0193662818873,6.27416845567,0.0,0.0199486646864,0.0533358101831,1.25344330147,0.0143524238026,-0.0271563836346,0.0,440.74565490228804,442.35764332216723,441.4465975302267,440.26857824592116
0.5400000000000001,0.0041762544715,0.0108686053473,10.3592317689,0.0202858908952,6.27224857956,0.0,0.0267674519717,0.0673246074839,1.37635925669,0.0172075863665,-0.0440598457961,0.0,446.5319680813766,445.1506076516639,445.5068178861106,445.7400836791486
0.6000000000000002,0.00609622784845,0.0154724326815,10.451613381,0.022353383893,6.26937053741,0.0,0.0375988717535,0.0863544244136,1.70259091589,0.0562515299062,-0.0572235435136,0.0,506.2612320030868,505.3121377768382,503.76373271577376,506.5790990669352
0.6600000000000003,0.00862230408206,0.0210840598669,10.5548318735,0.0259561397466,6.26637259349,0.0,0.0468974490278,0.101021643855,1.73795919569,0.0667186329104,-0.0384056420853,0.0,417.6757514619376,419.31173584808465,418.82548379851755,419.7375533035657
0.7200000000000003,0.0118063328102,0.0277184653602,10.6629111296,0.0294817904104,6.26377658345,0.0,0.0594904047981,0.120527785159,1.86446752595,0.0338527316799,-0.0553896213395,0.0,450.01920080329126,448.64132673446204,448.5821494020696,445.9076828003757
0.7800000000000004,0.0157481049094,0.0355062977327,10.7757042787,0.0325042530209,6.26037558722,0.0,0.0722093951436,0.139307230025,1.89523795661,0.071560511551,-0.059403728496,0.0,418.9456196531255,418.59405248902704,415.56590106123576,418.85952841879424
0.8400000000000004,0.0205788957603,0.0445711828422,10.8929727356,0.0369118308267,6.25672162419,0.0,0.0891899481704,0.163303860571,2.01348221951,0.0770084900311,-0.0640708061512,0.0,447.20586230187024,446.82294300375,445.43339479225216,445.8828423978253
0.9000000000000005,0.0265059831366,0.0551691732393,11.0172989195,0.041520575865,6.25311346132,0.0,0.108762322432,0.190435722452,2.13047979072,0.0764175957725,-0.0532461878811,0.0,446.1936920571891,447.07390018689347,446.27807345398566,446.2344885637655
0.9600000000000005,0.0336608125636,0.0674635531404,11.1479622061,0.0458707382087,6.24983938107,0.0,0.130053421964,0.219821379394,2.22474956853,0.0632280684288,-0.0573509661328,0.0,440.25408564964664,439.9123112614947,440.11081178899053,439.0219261972737
1.0200000000000005,0.0422195697686,0.0816873026572,11.2859996962,0.0495058040409,6.24658416108,0.0,0.155594306478,0.254695385238,2.37615925718,0.0546925562444,-0.0486868786243,0.0,458.2259415597027,458.9122661425462,457.83500790068877,457.15789929387074
1.0800000000000005,0.0523425317621,0.0980317492443,11.432105829,0.0532124950144,6.24440478337,0.0,0.182087104323,0.290473305911,2.49375988024,0.0731155344936,-0.0189628043851,0.0,447.0021060248794,449.41696170343465,447.72674051047403,449.2256981962428
1.1400000000000006,0.0642176911173,0.116774778594,11.5883948467,0.0579535150543,6.24317515672,0.0,0.213872838426,0.334815020783,2.7153280243,0.0887711745447,-0.0237461195707,0.0,479.9377881959169,479.57466312208277,480.06228123620946,481.2531179424754
1.2000000000000006,0.0777940060285,0.137950570717,11.7520971404,0.0633730133325,6.2414262068,0.0,0.238809087716,0.371527924837,2.74130760607,0.0932623341098,-0.0430621991436,0.0,421.5501897704317,419.87735552915734,420.52449023402335,420.92066876762334
1.2600000000000007,0.0929447371848,0.16149430637,11.9183461578,0.0694843530701,6.2384910213,0.0,0.266469293629,0.413815821311,2.80012221945,0.115068154141,-0.0644372289508,0.0,433.0225295573469,431.2189598400894,430.4302760253818,432.2808215263064
